Файл,Статус,Ошибка
371.pdf,Ошибка после 2 попыток,"{""error"":""Не удалось распознать текст""}"
398674 (1).pdf,Ошибка после 2 попыток,"{""error"":""Не удалось распознать текст""}"
398783.pdf,Ошибка после 2 попыток,"{""error"":""Не удалось распознать текст""}"
409.pdf,Ошибка после 2 попыток,"{""error"":""Не удалось распознать текст""}"
WhatsApp Image 2025-11-24 at 12.27.55 (1).jpeg,Пропущен (JPEG),
WhatsApp Image 2025-11-24 at 12.27.55.jpeg,Пропущен (JPEG),
WhatsApp Image 2025-11-24 at 12.27.56 (1).jpeg,Пропущен (JPEG),
WhatsApp Image 2025-11-24 at 12.27.56.jpeg,Пропущен (JPEG),
doc18166120251126131437.pdf,Ошибка после 2 попыток,"{""error"":""Не удалось распознать текст""}"
Акт выполненных работ № 1050 от 18.10.2025.pdf,Ошибка после 2 попыток,"{""error"":""Не удалось распознать текст""}"
Акт выполненных работ № 1063 от 20.10.2025.pdf,Ошибка после 2 попыток,"{""error"":""Не удалось распознать текст""}"
Акт выполненных работ № 1074 от 23.10.2025.pdf,Ошибка после 2 попыток,"{""error"":""Не удалось распознать текст""}"
Акт выполненных работ № 1099 от 29.10.2025.pdf,Ошибка после 2 попыток,"{""error"":""Не удалось распознать текст""}"
Акт выполненных работ № 1100 от 29.10.2025.pdf,Ошибка после 2 попыток,"{""error"":""Не удалось распознать текст""}"
Акт выполненных работ № 1172 от 13.11.2025.pdf,Ошибка после 2 попыток,"{""error"":""Не удалось распознать текст""}"
